sesion,num_votacion,fecha,legislatura,num_expediente,presentes,si,no,abs,titulo,texto_expediente,titulo_subgrupo,texto_subgrupo
"4","1","11/1/2012","10","410/000002","333","327","0","6","Toma en consideración de Proposición de reforma del Reglamento del Congreso de los Diputados.","De los Grupos Parlamentarios Popular en el Congreso, Socialista, Catalán (Convergència i Unió), Unión Progreso y Democracia, Vasco (EAJ-PNV) y de IU, ICV-EUiA, CHA: La Izquierda Plural, de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1. ","",""
"4","3","11/1/2012","10","130/000001","339","197","138","4","Convalidación o derogación de Reales Decretos-Leyes.","Real Decreto-Ley 20/2011, de 30 de diciembre, de medidas urgentes en materia presupuestaria, tributaria y financiera para la corrección del déficit público.","",""
"4","4","11/1/2012","10","130/000001","338","141","175","22","Convalidación o derogación de Reales Decretos-Leyes.","Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-Ley 20/2011, de 30 de diciembre, de medidas urgentes en materia presupuestaria, tributaria y financiera para la corrección del déficit público.","",""
"4","5","11/1/2012","10","410/000002","341","127","190","24","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","GP MIxto (ERC)","Enmienda nº 1"
"4","6","11/1/2012","10","410/000002","342","44","298","0","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","GP MIxto (ERC)","Enmienda nº 2"
"4","7","11/1/2012","10","410/000002","342","25","295","22","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","GP MIxto (ERC)","Enmienda nº 3"
"4","8","11/1/2012","10","410/000002","343","337","0","6","Convalidación o derogación de Reales Decretos-Leyes.","Proposición de reforma del Reglamento del Congreso de los Diputados, por la que se modifica el artículo 46.1.","Votación conjunta","VOTACIÓN CONJUNTO PROPOSICIÓN DE REFORMA DEL REGLAMENTO DEL CONGRESO DE LOS DIPUTADOS."
"5","1","7/2/2012","10","162/000130","329","298","28","3","Proposiciones no de Ley.","Proposición no de Ley relativa a la renovación del protocolo de pesca UE-Reino de Marruecos.","",""
"5","2","7/2/2012","10","162/000135","327","125","184","18","Proposiciones no de Ley.","Proposición no de Ley sobre la revisión del calendario del programa de estabilidad y estímulo al crecimiento.","",""
"5","3","7/2/2012","10","162/000057","327","327","0","0","Proposiciones no de Ley.","Proposición no de Ley por la que se insta al Gobierno a adoptar un conjunto de medidas de apoyo al emprendedor.  En los terminos de la Enmienda formulada por el Grupo Parlamentario Popular en el Congreso.","",""
"5","4","7/2/2012","10","162/000070","331","20","204","107","Proposiciones no de Ley.","Proposición no de Ley sobre medidas extraordinarias para la creación de empleo y el estímulo de la economía real.","",""
"7","1","9/2/2012","10","130/000002","338","182","127","29","Convalidación o derogación de Reales Decretos-Leyes.","Real Decreto-Ley 1/2012, de 27 de enero, por el que se procede a la suspensión de los procedimientos de preasignación de retribución y a la supresión de los incentivos económicos para nuevas instalaciones de producción de energía eléctrica a partir de cogeneración, fuentes de energía renovables y residuos.","",""
"7","2","9/2/2012","10","130/000002","336","153","181","2","Convalidación o derogación de Reales Decretos-Leyes.","Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-Ley 1/2012, de 27 de enero, por el que se procede a la suspensión de los procedimientos de preasignación de retribución y a la supresión de los incentivos económicos para nuevas instalaciones de producción de energía eléctrica a partir de cogeneración, fuentes de energía renovables y residuos.","",""
"8","1","14/2/2012","10","162/000052","320","26","291","3","Proposiciones no de Ley.","Proposición no de Ley sobre revisión del estatuto de los ex Presidentes del Gobierno y promoción de las iniciativas legislativas necesarias para garantizar la transparencia en su régimen de retribuciones y regular su régimen de incompatibilidades entre la percepción de retribuciones con cargo a fondos públicos y privados.","",""
"8","2","14/2/2012","10","162/000037","321","306","14","1","Proposiciones no de Ley.","Proposición no de Ley sobre el Plan de Derechos Humanos.","",""
"8","3","14/2/2012","10","173/000001","319","127","192","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre el cumplimiento del 'Plan Nacional de Reserva Estratégica de Carbón 2006/2012 y Nuevo Modelo de Desarrollo Integral y Sostenible de las Comarcas Mineras'.","",""
"8","4","14/2/2012","10","173/000002","320","108","180","32","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre su política de estabilidad presupuestaria para las Administraciones Públicas en desarrollo de las previsiones del artículo 135 de la Constitución española.","",""
"10","1","16/2/2012","10","130/000003","337","303","28","6","Convalidación o derogación de Reales Decretos-Leyes.","Real Decreto-Ley 2/2012, de 3 de febrero, de saneamiento del sector financiero.","",""
"10","2","16/2/2012","10","130/000003","336","152","183","1","Convalidación o derogación de Reales Decretos-Leyes.","Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-Ley 2/2012, de 3 de febrero, de saneamiento del sector financiero.","",""
"11","1","21/2/2012","10","162/000087","327","130","180","17","Proposiciones no de Ley.","Proposición no de Ley relativa al impulso de soluciones para el sector naval.  En los términos de la incorporación de las enmiendas del Grupo Mixto, del Grupo Socialista y del Grupo de IU, ICV-EUiA, Cha: La Izquierda Plural.","",""
"11","2","21/2/2012","10","162/000129","326","181","144","1","Proposiciones no de Ley.","Proposición no de Ley relativa a implantar un modelo de educación secundaria más flexible con un bachillerato de tres cursos.  En los términos de una enmienda transaccional.","",""
"11","3","21/2/2012","10","173/000003","320","34","286","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre la transferencia a la Generalitat de Cataluña de la recaudación que se realiza en Cataluña de la asignación tributaria del porcentaje del Impuesto sobre la Renta de las Personas Físicas (IRPF) destinado a fines sociales.","",""
"11","4","21/2/2012","10","173/000004","331","5","326","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre los propósitos del Gobierno en relación a la ilegalización de las coaliciones 'Amaiur' y 'Bildu'.","",""
"11","5","21/2/2012","10","173/000005","326","323","0","3","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre la sostenibilidad del sistema sanitario.  En los términos de una enmienda transaccional.","",""
"13","1","23/2/2012","10","245/000002","312","118","179","15","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuestas 1, 2, 4, 19 y 26."
"13","2","23/2/2012","10","245/000002","312","113","198","1","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuestas 3 y 18"
"13","3","23/2/2012","10","245/000002","312","18","280","14","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuesta 5"
"13","4","23/2/2012","10","245/000002","312","18","280","14","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuesta 7"
"13","5","23/2/2012","10","245/000002","312","32","280","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuestas 8, 11 y 17"
"13","6","23/2/2012","10","245/000002","312","130","182","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuesta 13"
"13","7","23/2/2012","10","245/000002","311","18","279","14","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuesta 20"
"13","8","23/2/2012","10","245/000002","312","113","185","14","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Propuesta 25"
"13","9","23/2/2012","10","245/000002","311","130","181","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural","Resto de propuestas del Grupo Parlamentario IU, ICV-EUiA, CHA: La Izquierda Plural"
"13","10","23/2/2012","10","245/000002","314","133","181","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuesta de resolución formulada por el Grupo Mixto (Sr. Tardà)","Propuesta 27"
"13","11","23/2/2012","10","245/000002","312","296","13","3","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Popular en el Congreso","Propuesta 29"
"13","12","23/2/2012","10","245/000002","313","183","116","14","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Popular en el Congreso","Propuesta 37"
"13","13","23/2/2012","10","245/000002","313","296","13","4","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Popular en el Congreso","Propuesta 38, con la incorporación de la enmienda 2 del Grupo Parlamentario Catalán (Convergència i Unió)"
"13","14","23/2/2012","10","245/000002","313","298","11","4","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Popular en el Congreso","Resto de propuestas del Grupo Parlamentario Popular en el Congreso"
"13","15","23/2/2012","10","245/000002","313","308","5","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Catalán (Convergència i Unió)","Propuestas 40, 49 y 51"
"13","16","23/2/2012","10","245/000002","312","202","110","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Catalán (Convergència i Unió)","Propuestas 41"
"13","17","23/2/2012","10","245/000002","312","24","288","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Catalán (Convergència i Unió)","Propuesta 42, con la incorporación de la enmienda 1 del Grupo Parlamentario Vasco (EAJ-PNV)"
"13","18","23/2/2012","10","245/000002","313","22","285","6","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Catalán (Convergència i Unió)","Propuesta 44"
"13","19","23/2/2012","10","245/000002","312","132","180","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Catalán (Convergència i Unió)","Resto de propuestas del Grupo Parlamentario Catalán (Convergència i Unió)"
"13","20","23/2/2012","10","245/000002","313","119","180","14","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Socialista","Propuestas 52 y 56"
"13","21","23/2/2012","10","245/000002","311","131","180","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Socialista","Resto de propuestas del Grupo Parlamentario Socialista"
"13","22","23/2/2012","10","245/000002","317","35","282","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuesta de resolución formulada por el Grupo Mixto (Sr. Errekondo)","Propuesta 61"
"13","23","23/2/2012","10","245/000002","313","6","306","1","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuesta 62"
"13","24","23/2/2012","10","245/000002","313","5","308","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuestas 63 y 64"
"13","25","23/2/2012","10","245/000002","313","23","290","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuestas 65 y 67"
"13","26","23/2/2012","10","245/000002","313","107","204","2","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuestas 66 y 70"
"13","27","23/2/2012","10","245/000002","313","6","307","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuesta 68"
"13","28","23/2/2012","10","245/000002","314","6","308","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuesta 69"
"13","29","23/2/2012","10","245/000002","314","5","309","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Propuesta 72"
"13","30","23/2/2012","10","245/000002","311","295","12","4","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario de Unión Progreso y Democracia","Resto de propuestas del Grupo Parlamentario de Unión Progreso y Democracia"
"13","31","23/2/2012","10","245/000002","314","131","183","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuestas 73, 74, 75, 76 y 77"
"13","32","23/2/2012","10","245/000002","314","23","290","1","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuesta 78"
"13","33","23/2/2012","10","245/000002","314","32","281","1","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuesta 79"
"13","34","23/2/2012","10","245/000002","314","130","183","1","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuesta 80"
"13","35","23/2/2012","10","245/000002","314","308","6","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuesta 81"
"13","36","23/2/2012","10","245/000002","314","32","282","0","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuestas 82, 83 y 85"
"13","37","23/2/2012","10","245/000002","314","132","181","1","Propuestas de Resolución relativas a las Memorias del Consejo General del Poder Judicial.","Propuestas de resolución presentadas con motivo del debate de la Memoria sobre el estado, funcionamiento y actividades del Consejo General del Poder Judicial y de los Juzgados y Tribunales de Justicia, correspondiente al año 2010.","Propuestas de resolución formuladas por el Grupo Parlamentario Vasco (EAJ-PNV)","Propuesta 84"
"14","1","6/3/2012","10","162/000002","336","140","196","0","Proposiciones no de Ley.","Proposición no de Ley relativa a la lucha contra el fraude fiscal. Se vota en los términos de la enmienda transaccional presentada por el Grupo Parlamentario Socialista, el Grupo Parlamentario de IU, ICV-EUiA, CHA: La Izquierda Plural y el Grupo Parlamentario de Unión Progreso y Democracia.  ","",""
"14","2","6/3/2012","10","162/000182","329","289","18","22","Proposiciones no de Ley.","Proposición no de Ley relativa al desarrollo de un Plan General de Marca España. Se vota en los términos de la enmienda transaccional presentada por el Grupo Parlamentario Popular en el Congreso. ","",""
"14","3","6/3/2012","10","173/000006","334","334","0","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre la continuidad de los Centros Especiales de Empleo. Se vota en los términos de la enmienda transaccional presentada por el Grupo Parlamentario Popular en el Congreso, el Grupo Parlamentario Socialista, el Grupo Parlamentario Catalán (CiU) y el Grupo Parlamentario Vasco (EAJ-PNV).","",""
"14","4","6/3/2012","10","173/000007","335","36","181","118","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre la dación en pago y los abusos de las entidades financieras. Se vota en los términos de la enmienda presentada por el Grupo Parlamentario Mixto (Sra. Jordà).","",""
"14","5","6/3/2012","10","173/000008","336","136","200","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre las repercusiones de la reforma laboral del Gobierno en la negociación colectiva y sus efectos en los salarios.","Votación por puntos","Puntos 1º y 3º"
"14","6","6/3/2012","10","173/000008","336","105","204","27","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre las repercusiones de la reforma laboral del Gobierno en la negociación colectiva y sus efectos en los salarios.","Votación por puntos","Punto 2º"
"16","1","8/3/2012","10","130/000004","339","197","142","0","Convalidación o derogación de Reales Decretos-Leyes.","Real Decreto-Ley 3/2012, de 10 de febrero, de medidas urgentes para la reforma del mercado laboral.","",""
"16","2","8/3/2012","10","130/000004","338","337","0","1","Convalidación o derogación de Reales Decretos-Leyes.","Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-Ley 3/2012, de 10 de febrero, de medidas urgentes para la reforma del mercado laboral.","",""
"16","3","8/3/2012","10","130/000005","321","301","14","6","Convalidación o derogación de Reales Decretos-Leyes.","Real Decreto-Ley 4/2012, de 24 de febrero, por el que se determinan obligaciones de información y procedimientos necesarios para establecer un mecanismo de financiación para el pago a los proveedores de las entidades locales.","",""
"16","4","8/3/2012","10","130/000005","321","140","177","4","Convalidación o derogación de Reales Decretos-Leyes.","Tramitación como Proyecto de Ley por el procedimiento de urgencia del Real Decreto-Ley 4/2012, de 24 de febrero, por el que se determinan obligaciones de información y procedimientos necesarios para establecer un mecanismo de financiación para el pago a los proveedores de las entidades locales.","",""
"17","1","13/3/2012","10","430/000001","339","179","133","27","Debate relativo al objetivo de estabilidad presupuestaria.","Acuerdo por el que se fija el objetivo de estabilidad presupuestaria para 2012 del conjunto del sector público y de cada uno de los grupos de agentes que lo integran y el límite de gasto no financiero del Presupuesto del Estado para 2012.","",""
"17","2","13/3/2012","10","122/000010","317","126","173","18","Toma en consideración de Proposiciones de Ley.","Proposición de Ley de transparencia y acceso a la información pública.","",""
"17","3","13/3/2012","10","122/000011","316","146","169","1","Toma en consideración de Proposiciones de Ley.","Proposición de Ley relativa a la dación en pago y la protección de las personas físicas insolventes.","",""
"17","4","13/3/2012","10","162/000183","315","315","0","0","Proposiciones no de Ley.","Proposición no de Ley sobre la seguridad de los menores en las redes sociales en Internet.  Se vota en los términos de la enmienda transaccional presentada por todos los Grupos Parlamentarios.","",""
"17","5","13/3/2012","10","162/000215","321","132","176","13","Proposiciones no de Ley.","Proposición no de Ley sobre el acuerdo de libre asociación UE-Marruecos y el sector agrario español.","",""
"19","1","15/3/2012","10","121/000002","314","295","6","13","Tramitación directa y en lectura única de iniciativas legislativas.","Proyecto de Ley Orgánica por la que se excluye del ámbito de aplicación de la disposición adicional de la Ley Orgánica 3/2006, de 26 de mayo, de reforma de la Ley Orgánica 5/2001, de 13 de diciembre, complementaria de la Ley General de Estabilidad Presupuestaria, a determinados mecanismos de financiación.","Votaciones","-Votación en bloque de las enmiendas  del Grupo Popular"
"19","2","15/3/2012","10","121/000002","312","186","101","25","Tramitación directa y en lectura única de iniciativas legislativas.","Proyecto de Ley Orgánica por la que se excluye del ámbito de aplicación de la disposición adicional de la Ley Orgánica 3/2006, de 26 de mayo, de reforma de la Ley Orgánica 5/2001, de 13 de diciembre, complementaria de la Ley General de Estabilidad Presupuestaria, a determinados mecanismos de financiación.","Votaciones","-Votación de conjunto del texto del Proyecto de Ley Orgánica."
"19","3","15/3/2012","10","110/000001","313","299","12","2","Dictámenes de la Comisión de Asuntos Exteriores sobre Convenios internacionales.","Acuerdo de Sede entre el Reino de España y la Organización Internacional de Comisiones de Valores (OICV/IOSCO), hecho en Madrid el 23 de noviembre de 2011.","",""
"19","4","15/3/2012","10","173/000009","309","129","175","5","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente relativa al corredor ferroviario prioritario que el Gobierno presentará ante la Unión Europea.  Con la enmienda del Grupo de IU-ICV-EUiA, CHA: la Izquierda Plural","",""
"19","5","15/3/2012","10","173/000010","319","5","314","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre los propósitos del Gobierno en relación a las medidas que va adoptar para evitar el despilfarro y duplicidades en el conjunto de las Administraciones Públicas y con ello impedir que los recortes se produzcan en servicios públicos esenciales.","Votaciones Separadas","-Puntos 1, 2, 3 y 4"
"19","6","15/3/2012","10","173/000010","318","5","313","0","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre los propósitos del Gobierno en relación a las medidas que va adoptar para evitar el despilfarro y duplicidades en el conjunto de las Administraciones Públicas y con ello impedir que los recortes se produzcan en servicios públicos esenciales.","Votaciones Separadas","-Resto de la Moción"
"19","7","15/3/2012","10","173/000011","320","19","279","22","Mociones consecuencia de interpelaciones urgentes.","Moción consecuencia de interpelación urgente sobre el planteamiento del Gobierno en el marco de la nueva reforma de la Política Agraria Común (PAC).  En los términos de la transaccional presentada.","",""
