nombre,asientos,total,si,no,abs,novota,dias_no_vota,dias_vota_algo,dias_vota_todo
"Veray Cama, Concepció","2821, 3801, 5801",330,121,204,0,5,1,0,42
"Viera Chacón, José Antonio","1512, 1713",330,202,89,24,15,3,1,39
"Villalobos Talero, Celia",2,330,101,203,0,26,4,1,38
"Villanova Rueda, Joaquín","2814, 2710, 2709",330,117,208,4,1,0,1,42
"Villarrubia Mediavilla, Julio","1607, 1412",330,211,92,25,2,1,0,42
"Vázquez Blanco, Ana Belén","2816, 3608, 3610",330,122,208,0,0,0,0,43
"Vázquez Jiménez, Antonio","2815, 2509, 3601",330,122,207,0,1,0,1,42
"Vázquez Morillo, María José","1513, 1712",330,202,86,23,19,1,2,40
"Xuclà i Costa, Jordi",2309,330,189,56,59,26,3,1,39
"Yuste Cabello, Chesús",1504,330,189,80,43,18,2,2,39
"Zaragoza Alonso, José","1707, 1205",330,210,91,24,5,1,0,42
"Zarrías Arévalo, Gaspar Carlos",1208,330,162,65,15,88,6,1,36
"Ábalos Meco, José Luis","4601, 4703, 1407",330,200,87,23,20,2,0,41
"Álvarez Sostres, Enrique",2806,330,80,135,45,70,8,4,31
"Álvarez de Toledo Peralta Ramos, Cayetana","3401, 5605, 2505",330,104,166,0,60,8,2,33
"Álvarez Álvarez, Ángeles","1808, 1804",330,177,77,22,54,5,1,37
"Álvarez-Arenas Cisneros, María del Carmen","2412, 3511, 3514",330,120,196,0,14,1,0,42
