nombre,asientos,total,si,no,abs,novota,dias_no_vota,dias_vota_algo,dias_vota_todo
"Collarte Rodríguez, Guillermo","2512, 2607, 2609",330,120,198,2,10,0,3,40
"Conde Bajén, Agustín","2511, 2410",330,110,195,0,25,4,1,38
"Conde Martínez, Gema","2510, 2708, 3820",330,119,196,1,14,1,0,42
"Corcuera Plaza, Juan Carlos","1712, 1612, 1611",330,186,82,24,38,5,1,37
"Cortizo Nieto, Miguel Ángel","1805, 1614, 1613",330,203,85,26,16,1,1,41
"Cortés Bureta, Pilar","2509, 5702, 5705",330,122,208,0,0,0,0,43
"Cortés Martín, Miguel Ángel","3412, 3413, 3414",330,98,187,0,45,6,0,37
"Coscubiela Conesa, Joan",1503,330,170,66,35,59,5,4,34
"Costa Palacios, María Angelina","1409, 1607, 1614",330,204,89,23,14,2,0,41
"Cuadra Lasarte, Sabino",2704,330,49,18,48,215,20,14,9
"Cunillera Mestres, Teresa",8,330,207,89,24,10,3,0,40
"Císcar Casabán, Ciprià","4706, 1610, 1609",330,211,93,26,0,0,0,43
"De las Heras Ladera, Ascensión",1602,330,147,60,36,87,9,4,30
"Delgado Arce, Celso Luis","2508, 2516",330,123,207,0,0,0,0,43
"Duran i Lleida, Josep Antoni",2207,330,115,31,39,145,18,0,25
"Durán Ramos, Eva","2507, 3603, 3605",330,123,207,0,0,0,0,43
"Díez González, Rosa María",2401,330,179,121,27,3,1,0,42
"Echávarri Fernández, Gabriel","4604, 4701, 4703",330,205,90,24,11,2,1,40
"Elorriaga Pisarik, Gabriel","2506, 2409",330,122,206,2,0,0,0,43
"Elorza González, Odón",1819,330,196,88,32,14,2,2,39
"Enbeita Maguregi, Onintza",2601,113,28,6,14,65,10,3,4
"Erias Rey, Antonio","2516, 3517",330,121,208,0,1,0,1,42
"Erkoreka Gervasio, Josu Iñaki",2201,330,186,54,71,19,3,1,39
"Errekondo Saltsamendi, Xabier Mikel",2602,330,51,18,33,228,16,21,6
"Escobar Las Heras, Conrado","2505, 3405, 3407",330,122,208,0,0,0,0,43
"Escudero Berzal, Beatriz Marta","5606, 3715, 5702",330,121,207,0,2,0,1,42
"España Reina, Carolina","5605, 3615, 3502",330,122,208,0,0,0,0,43
"Esteban Bravo, Aitor",2202,330,172,49,70,39,3,1,39
"Esteller Ruedas, Mª Ángeles","5604, 5706, 5602",330,120,194,1,15,1,0,42
"Esteve Ortega, Esperança","1711, 1309",330,199,86,22,23,4,1,38
"Fabra Fernández, Andrea","5603, 3504, 3506",330,123,207,0,0,0,0,43
"Fajarnés Ribas, Enrique","5602, 3509, 3511",330,122,208,0,0,0,0,43
"Falcón Dacal, Maravillas Concepción","5601, 3602, 3603",330,122,208,0,0,0,0,43
"Fernández Davila, Mª Olaia","2702, 2701",330,197,65,38,30,3,3,37
"Fernández Díaz, Jorge",3102,330,100,147,0,83,9,2,32
"Fernández García, Eduardo","3615, 3806, 3805",330,122,208,0,0,0,0,43
"Fernández González, Daniel","1205, 1707, 4606",330,153,63,21,93,14,0,29
"Fernández González, María Mercedes","3203, 3311, 3310",110,10,22,1,77,9,2,5
"Fernández Moya, Gracia",1704,246,153,65,21,7,0,4,26
"Fernández Álvarez, Alejandro","3616, 3402, 3405",330,121,206,0,3,2,1,40
"Fernández-Ahuja García, María de los Ángeles","2809, 2817",220,75,140,4,1,0,1,26
"Ferrando Sendra, Amparo","3614, 5606, 2506",330,122,207,0,1,0,1,42
"Ferrer Roselló, Vicente","3613, 3404, 3406",330,118,193,1,18,3,0,40
"Figueres Górriz, María Ascensión","3612, 2716, 2605",330,118,207,0,5,1,0,42
"Flores Lanuza, Mario Francisco José","3611, 2610, 3702",330,122,208,0,0,0,0,43
"Floriano Corrales, Carlos Javier","3305, 3312",330,120,205,0,5,1,0,42
"Franquis Vera, Sebastián","4702, 1609, 1608",330,207,83,24,16,2,0,41
"Fumero Roque, Águeda","3610, 3805, 3803",330,122,206,0,2,0,1,42
"Gallego Arriola, María del Puerto","1506, 1816, 1815",330,212,93,25,0,0,0,43
"Gallego Burgos, Antonio","3609, 3515, 3403",330,122,208,0,0,0,0,43
"García Díez, Joaquín María","3608, 3506, 3508",330,120,205,0,5,0,1,42
"García Egea, Teodoro","3607, 2819, 3512",330,113,196,1,20,3,0,40
"García Gasulla, Guillem","1816, 4805",330,210,92,28,0,0,0,43
"García Gálvez, Paloma","3606, 2818",223,85,125,1,12,2,0,25
"García Pérez, Pablo","3605, 2714, 2713",330,122,207,0,1,0,1,42
"García Álvarez, María Caridad",1703,330,192,80,39,19,2,4,37
"García-Tizón López, Arturo","3408, 2412",330,120,203,1,6,2,0,41
"Garrido Valenzuela, Irene","3604, 3712, 3715",330,122,207,0,1,0,1,42
"Garzón Espinosa, Alberto",1702,330,157,59,35,79,8,3,32
"Gil Lázaro, Ignacio",6,330,113,200,0,17,3,0,40
"González Cabaña, Francisco","1408, 1513",330,179,74,24,53,7,0,36
"González Gutiérrez, Concepción","3408, 2816",226,83,143,0,0,0,0,28
"González Muñoz, Ángel Luis","3602, 3704, 3707",330,122,207,1,0,0,0,43
"González Pons, Esteban","3312, 3311",330,117,197,0,16,2,0,41
"González Ramos, Manuel Gabriel","1612, 1812",330,204,92,30,4,2,1,40
"González Veracruz, María","1402, 1303",330,198,86,24,22,2,1,40
"González Vázquez, Marta","3601, 3616, 3503",330,122,206,0,2,0,2,41
"González Vázquez, Sebastián","2616, 3601, 3604",330,116,194,1,19,2,0,41
"Gordo Pérez, Juan Luis","1608, 1606",330,204,93,30,3,2,0,41
"Grande Pesquero, Pilar","4703, 1509",330,213,92,25,0,0,0,43
"Grau Reinés, Juan Carlos","2615, 3502, 3505",330,124,206,0,0,0,0,43
"Guerra González, Alfonso",1401,330,205,86,25,14,1,0,42
"Guillaumes i Ràfols, Feliu-Joan",2406,330,183,56,59,32,4,1,38
"Guillén Izquierdo, Vicente","1510, 1714",330,206,87,21,16,1,2,40
"Gutiérrez Molina, Antonio","2614, 5603, 5605",330,119,205,1,5,1,3,39
"Gutiérrez del Castillo, María Concepción","1415, 1404",330,208,91,25,6,1,0,42
"Gómez Sánchez, Tomás Valeriano","1307, 1310",330,186,78,22,44,7,3,33
"Gómez de la Serna y Villacieros, Pedro Ramón","3603, 3409, 3410",330,103,188,0,39,3,1,39
"Heredia Díaz, Miguel Ángel","1516, 1711",330,173,85,22,50,5,1,37
"Heredia Martín, Silvia","2613, 3813, 3812",330,113,204,0,13,2,0,41
"Hernando Fraile, Rafael Antonio",3208,330,121,208,0,1,0,1,42
"Hernando Vera, Antonio","1209, 1302",330,206,90,26,8,2,0,41
"Hernanz Costa, Sofía","1817, 4804",330,198,89,25,18,2,1,40
"Hernández Gutiérrez, Patricia","4701, 4803",330,202,89,33,6,1,0,42
"Hoyo Juliá, Belén","2612, 2709, 2708",330,122,208,0,0,0,0,43
"Hurtado Zurera, Antonio","1410, 1705",330,204,88,31,7,1,0,42
"Iglesias Fontal, María Olga","2611, 2605, 2716, 2609, -1, 2606",330,74,134,0,122,6,8,29
"Iglesias Santiago, Leire","1803, 1506",330,199,87,25,19,3,1,39
"Iñarritu García, Jon",2805,330,70,30,66,164,9,24,10
"Jané i Guasch, Jordi",5,330,183,61,61,25,3,1,39
"Jiménez Díaz, María Piedra Escrita","2610, 2817, 2815",330,120,208,1,1,0,1,42
"Jiménez García-Herrera, Trinidad","1303, 1304",330,194,76,20,40,3,3,37
"Jiménez Mínguez, Encarnación","2816, 2814",323,118,204,1,0,0,0,42
"Jordà i Roura, Teresa",2503,330,158,51,50,71,9,4,30
"Jorquera Caselas, Francisco Xesús",2701,306,150,56,35,65,8,1,29
"Juste Picón, María Belén","2609, 5602, 5604",330,119,204,0,7,3,0,40
"Jáuregui Atondo, Ramón","1308, 1311",330,188,74,19,49,5,0,38
"Lagares Flores, Juan Carlos","2608, 5703, 5706",330,121,202,0,7,2,1,40
"Lago Martínez, María Paz","2607, 3807, 3806",330,122,207,1,0,0,0,43
"Landaluce Calleja, José Ignacio","2606, 3609, 3611",330,118,203,0,9,1,0,42
"Lanzuela Marina, Santiago","2605, 3605, 3607",330,121,199,0,10,2,1,40
"Lara Carbó, María Teresa de","5706, 3507, 3509",330,122,206,1,1,0,1,42
"Lara Moya, Cayo",1501,330,177,73,38,42,4,2,37
"Larreina Valderrama, Rafael",2603,330,78,38,76,138,5,25,13
"Lavilla Martínez, Félix","1609, 1813",330,208,91,24,7,2,0,41
"Llamazares Trigo, Gaspar",1604,330,191,76,39,24,2,3,38
"Llorens Torres, José Ignacio","5701, 2512",330,121,207,1,1,0,1,42
"Lozano Domingo, Irene",2404,330,182,120,27,1,0,1,42
"Lucio Carrasco, María Pilar","1804, 1803",330,206,92,26,6,0,3,40
"Luena López, César","1801, 1403",330,213,92,25,0,0,0,43
"Luis Rodríguez, Teófilo de","3310, 3309, 3308",330,123,206,0,1,0,1,42
"López Garrido, Diego","1810, 1405",330,157,61,20,92,11,2,30
"López Garrido, José","5704, 3818, 3817",330,122,200,0,8,2,0,41
"López González, Rocío","5703, 3703, 3706",330,122,208,0,0,0,0,43
"López Iglesias, Germán Augusto","5702, 2713",110,43,67,0,0,0,0,16
"López Jiménez, Luis","1406, 1704",84,51,27,3,3,0,2,11
"López i Chamosa, María Isabel","1714, 1616",330,201,91,23,15,3,1,39
"López-Amor García, Fernando","5705, 5601, 5603",330,122,203,0,5,1,0,42
"Macias i Arau, Pere",2206,330,192,55,62,21,2,0,41
"Madina Muñoz, Eduardo",1203,330,191,87,25,27,2,0,41
"Madrazo Díaz, Ana María","3716, 3516, 3404",330,122,208,0,0,0,0,43
"Mariscal Anaya, Guillermo","3715, 3407, 3409",330,122,208,0,0,0,0,43
"Martín González, María Guadalupe","1715, 1808",330,206,93,24,7,0,4,39
"Martín González, Telmo","3713, 2505, 2507",330,117,208,4,1,0,1,42
"Martín Peré, Pablo","1818, 1613, 1612",330,209,90,25,6,2,0,41
"Martín Pozo, María Teresa","3712, 2815, 2605",330,117,200,0,13,2,0,41
"Martín Rodríguez, Enrique Luis","3711, 2814, 2714",330,122,208,0,0,0,0,43
"Martín-Toledano Suárez, José Alberto","3710, 3709, 3712",330,108,189,1,32,3,0,40
"Martínez Gorriarán, Carlos",2402,330,138,83,20,89,10,0,33
"Martínez Olmos, José","1411, 1516",330,196,89,25,20,3,0,40
"Martínez Rodríguez, Santiago","3708, 3809, 3808",330,122,206,0,2,1,0,42
"Martínez Saiz, Teófila","3411, 3412, 3413",330,109,193,0,28,3,1,39
"Martínez-Pujalte López, Vicente","3709, 3403, 3411, 3412",330,119,192,0,19,2,3,38
"Matarí Sáez, Juan José","3304, 3306",330,122,203,1,4,1,1,41
"Mato Adrover, Ana",1106,330,89,109,0,132,18,4,21
"Matos Mascareño, Pablo","3707, 2513",330,122,200,0,8,2,0,41
"Meijón Couselo, Guillermo Antonio","1807, 4806",330,187,74,23,46,7,0,36
"Merino López, Rafael","3311, 3310, 3309",330,121,206,0,3,0,1,42
"Micheo Carrillo-Albornoz, Julia de","2808, 2813",202,64,134,0,4,2,1,22
"Miguélez Pariente, María Aránzazu","3706, 2707, 2820",330,122,207,0,1,0,1,42
"Mingo Zapatero, Mario","3705, 2511",330,122,208,0,0,0,0,43
"Molinero Hoyos, Francisco","3704, 2706, 3819",330,121,197,0,12,1,0,42
"Moneo Díez, María Sandra","3303, 3302, 3304",330,122,208,0,0,0,0,43
"Monteserín Rodríguez, María Virtudes","1206, 1508",330,201,89,22,18,4,0,39
"Montesinos de Miguel, Macarena","3703, 5604, 2610",330,122,206,0,2,0,2,41
"Montoro Romero, Cristóbal Ricardo",3103,330,87,148,0,95,16,0,27
"Montserrat Montserrat, Dolors",4,330,119,202,0,9,2,0,41
"Montón Giménez, Carmen","4705, 1308",330,211,93,26,0,0,0,43
"Mora Bernat, Manuel","3702, 3815, 3814",330,122,208,0,0,0,0,43
"Moragas Sánchez, Jorge","3307, 3202",330,77,117,0,136,16,2,25
"Moraleja Gómez, Tristana María","3701, 3703",330,120,200,1,9,2,0,41
"Moreno Bustos, Ramón","2716, 3610, 3612",330,122,206,1,1,0,1,42
"Moreno Felipe, Irene","2715, 2813, 2812",330,122,208,0,0,0,0,43
"Moreno Palanques, Rubén","2714, 5705, 5601, 5603",330,122,208,0,0,0,0,43
"Morlán Gracia, Víctor","1511, 1716",330,213,92,25,0,0,0,43
"Moro Almaraz, María Jesús","2713, 3512, 3515",330,122,208,0,0,0,0,43
"Moscoso del Prado Hernández, Juan","1814, 1305",330,178,79,14,59,7,0,36
"Muñoz González, Pedro José","1505, 1413",330,210,92,25,3,2,0,41
"Muñoz Obón, Carlos Enrique","2712, 3708, 3711",330,122,208,0,0,0,0,43
"Márquez de la Rubia, Francisco","3714, 5701",330,120,208,0,2,0,1,42
"Méndez Monasterio, Lourdes","3410, 3411, 2411",330,122,208,0,0,0,0,43
"Narbona Ruiz, Cristina","1811, 1510",330,203,89,29,9,1,0,42
"Nasarre Goicoechea, Eugenio","2711, 3604, 3606",330,119,204,0,7,1,1,41
"Navarro Cruz, María del Carmen","2710, 3510, 3513",330,114,197,0,19,2,0,41
"Nuet Pujals, Joan Josep",1601,330,153,64,30,83,11,2,30
"Olabarría Muñoz, Emilio",2203,330,186,55,69,20,3,0,40
"Olano Vela, Jaime Eduardo de","2709, 3816, 3815",330,122,208,0,0,0,0,43
"Oramas González-Moro, Ana María",2801,330,216,38,43,33,4,0,39
"Ortiz Castellví, Laia",1603,330,189,77,46,18,3,1,39
"Pacheco Atienza, Arsenio","2708, 3811, 3810",330,121,208,1,0,0,0,43
"Pajín Iraola, Leire","1309, 1407",263,151,68,17,27,2,1,28
"Pastor González, Ildefonso R.","2707, 2812, 3704",330,121,208,1,0,0,0,43
"Pastor Julián, Ana María",2104,330,66,75,0,189,26,1,16
"Pezzi Cereto, Manuel","1412, 1507",330,208,90,25,7,2,0,41
"Picó i Azanza, Antoni",2305,330,194,61,59,16,2,1,40
"Pigem i Palmés, Mª Mercè",2204,330,182,60,64,24,4,0,39
"Posada Moreno, Jesús",1,330,107,204,0,19,2,5,36
"Pozuelo Meño, María Isabel","1515, 1312",330,160,64,19,87,7,0,36
"Prada Presa, Alfredo","3414, 3301, 3303",330,123,207,0,0,0,0,43
"Pradas Torres, Antonio Francisco","1514, 1710",330,208,92,29,1,0,1,42
"Puche Rodríguez-Acosta, Gabino","5802, 2612",330,113,186,0,31,3,3,37
"Puente Redondo, Javier","5801, 2810, 2604",330,122,208,0,0,0,0,43
"Puig Ferrer, Joaquín Francisco","4603, 1411",330,143,63,13,111,14,0,29
"Puyuelo del Val, María Blanca","3820, 3819, 3818",330,121,208,0,1,0,1,42
"Pàramo i Ponsetí, Carles",2407,330,135,45,45,105,10,2,31
